id,name,image_urls,price,description,subcategory,tax_id,quantity
1195991001,Puszysty chodnik z domieszką wełny,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fa6%2F24%2Fa6248f8737be5988d5c848eba850939631ef3587.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BGH_80x140cm%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fc8%2F95%2Fc89550cae1c469358c20af007d30cbb0cffc5fbb.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BGH_80x140cm%5D%2Ctype%5BDESCRIPTIVEDETAIL%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"319,99 PLN",Puszysty chodnik z mieszanki wełny i bawełny. Chodnik ma przyjemne dla stóp miękkie długie włosie i stworzy w domu przytulny ciepły klimat.,Dywany,1,10
1195988001,Puszysty chodnik z domieszką wełny,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F3f%2F2c%2F3f2c47b5f66953b070a89269fa26afe892909405.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BENVIRONMENT%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fbd%2F60%2Fbd6017e0fe34da624d3363099c3457cfd5a6190e.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BGH_170x240cm%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"1 449,99 PLN",Puszysty chodnik z mieszanki wełny i bawełny. Chodnik ma przyjemne dla stóp miękkie długie włosie i stworzy w domu przytulny ciepły klimat.,Dywany,1,9
1194553001,Dywanik pod choinkę,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F38%2F69%2F386963d5739c9509d232785f743d376cb8a17ad4.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BGH_D100cm%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F5b%2F65%2F5b650de24e6f17afbb10c52c94db35bf52774791.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BGH_D100cm%5D%2Ctype%5BDESCRIPTIVEDETAIL%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"127,99 PLN",Okrągły tkaninowy dywanik z mieszanki lnu i bawełny we wzorzyste nadruki z dopasowanym obszyciem.,Dywany,1,3
929702001,Wycieraczka z kokosa,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F38%2Ff7%2F38f785293043e10ece956cc382d3aac97dfa36b7.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bhome_rugs_doormats%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F0e%2F2a%2F0e2aac5f22978455115aa6647cb5f49f0ab4dea2.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"54,99 PLN",Prostokątna wycieraczka z włókna kokosowego z wyciętym motywem tekstowym. Antypoślizgowy spód.,Dywany,1,10
1102281001,Spódnica choinkowa/dywanik z domieszką lnu,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F00%2F78%2F0078518b63df651470c13efc7ee902bd257197ec.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fcf%2Fa2%2Fcfa2490922ef4072aebc9d10d2d417291bb61a0e.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVEDETAIL%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"147,99 PLN","Tkaninowa spódnica choinkowa z mieszanki lnu i bawełny obszyta lamówką w tym samym kolorze, zdobiona wyszywanym wzorem i wiązana na tasiemki. Można ją owinąć wokół pnia choinki, ukrywając stojak, Można ją również użyć jako zwykły dywanik pod choinkę, na którym stawia się drzewko.",Dywany,1,1
715794001,Jutowy chodnik,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F12%2F6d%2F126da9d8955db82f1c31b45378b726bbc1a282ca.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bhome_bedroom_all%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F95%2F56%2F955694d7a519eaced7e00fe015740e8a903577c5.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bhome_carpets%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"144,99 PLN",Jutowy chodnik z frędzlami na krótkich bokach.,Dywany,1,1
1194569001,Dywanik pod choinkę,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F2f%2F44%2F2f44c55988b4f0f8eea44133a6993312b61fd105.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BGH_D100cm%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fe7%2F39%2Fe739e7beea149899beac07d671fe1d8a22c7a3bd.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BGH_D100cm%5D%2Ctype%5BDESCRIPTIVEDETAIL%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"147,99 PLN",Okrągły tkaninowy dywanik z mieszanki lnu i bawełny. Wyszywane brokatowe gwiazdki i dopasowane obszycie.,Dywany,1,3
820186002,Bawełniany chodnik z tęczami,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F03%2Fba%2F03ba62036a6668bc750adfb25bb62a94cf986cce.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F43%2F88%2F43883b6e2090cb079977f81203ee905719b028ef.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bhome_carpets%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"189,99 PLN","Prostokątny chodnik z bawełnianej tkaniny. Na każdym końcu duża tęcza o krótkim włosiu. Frędzle na krótkich bokach, antypoślizgowy spód.",Dywany,1,10
1194546001,Wycieraczka z włókna kokosowego,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fac%2Fe3%2Face33f146cb2dc074ffe9334c4e68ad686ff6b81.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BGH_45x70cm%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F7f%2Fe5%2F7fe52ea3d301d41e06084c0c33aabc1224972f85.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BGH_45x70cm%5D%2Ctype%5BDESCRIPTIVEDETAIL%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"54,99 PLN",Wycieraczka z włókna kokosowego z motywem na wierzchu i antypoślizgowym spodem.,Dywany,1,9
1138579005,Duży chodnik z domieszką wełny,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F5d%2Fe2%2F5de2e5f9c8f68cde82cae7f3920956bc670a315b.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bhome_rugs_largerugs%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F69%2Ffc%2F69fc23e03972f1774e0f6619e5235c7844a1e24b.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bhome_rugs_largerugs%5D%2Ctype%5BDESCRIPTIVEDETAIL%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"1 799,99 PLN",Duży wzorzysty chodnik z mieszanki wełny i bawełny z przyjemnym dla stóp miękkim długim włosiem. Nada wnętrzu przytulny ciepły klimat.,Dywany,1,6
